instance,family,activation,dim,modules,H,U_eq_align,OPT_eq_exposed_milp,compression_factor_exact,proof_cell_count,bytes_core_tab,bytes_core_bin,bytes_archive_tab,bytes_archive_tree,bytes_archive_bin,archive_to_core_bin_ratio,bytes_core_per_cell_bin,bytes_archive_per_cell_bin,serialized_node_count_core_tab,serialized_node_count_archive_tree,T_check_core_tab,T_check_core_bin,T_check_archive_tab,T_check_archive_tree,T_check_archive_bin,bytes_tab,bytes_tree,bytes_bin,serialized_node_count_tab,serialized_node_count_tree,T_check,T_check_per_cell
tiny_relu_hinge_1d,GoldTiny,ReLU,1,1,1,2,2.0,1.0,2,838,374,3445,3963,1413,3.77807486631016,187.0,706.5,2,5,5.1314011216163635e-05,2.899114042520523e-05,3.489293158054352e-05,2.937205135822296e-05,3.159232437610626e-05,3445,3963,1413,2,5,3.159232437610626e-05,1.579616218805313e-05
tiny_abs_1d,GoldTiny,Abs,1,1,1,2,2.0,1.0,2,837,374,3441,3959,1411,3.772727272727273,187.0,705.5,2,5,3.725290298461914e-05,2.2851862013339996e-05,3.0621886253356934e-05,2.8481706976890564e-05,9.611714631319046e-05,3441,3959,1411,2,5,9.611714631319046e-05,4.805857315659523e-05
tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2,2,4,4.0,1.0,4,1708,740,15023,16291,4884,6.6,185.0,1221.0,4,11,5.098339170217514e-05,3.2963231205940247e-05,7.820501923561096e-05,7.487460970878601e-05,6.479490548372269e-05,15023,16291,4884,4,11,6.479490548372269e-05,1.619872637093067e-05
tiny_leaky_2d,GoldTiny,LeakyReLU,2,1,1,2,2.0,1.0,2,881,392,6040,6558,2152,5.489795918367347,196.0,1076.0,2,5,3.703217953443527e-05,2.2701919078826904e-05,4.2333267629146576e-05,3.924313932657242e-05,3.5542063415050507e-05,6040,6558,2152,2,5,3.5542063415050507e-05,1.7771031707525253e-05
tiny_maxout_2d,GoldTiny,Maxout,2,1,3,8,4.0,2.0,4,8336,2404,37720,40630,11253,4.680948419301164,601.0,2813.25,4,19,8.9326873421669e-05,5.5713579058647156e-05,0.0001996755599975586,0.0001536104828119278,0.00011697784066200256,37720,40630,11253,4,19,0.00011697784066200256,2.924446016550064e-05
tiny_residual_2d,GoldTiny,Residual+ReLU,2,1,1,2,2.0,1.0,2,861,392,6302,6820,2226,5.678571428571429,196.0,1113.0,2,5,3.8662925362586975e-05,2.309214323759079e-05,4.399288445711136e-05,5.005393177270889e-05,3.441236913204193e-05,6302,6820,2226,2,5,3.441236913204193e-05,1.7206184566020966e-05
FamilyA_d2_M4_relu_seed0,FamilyA,relu,2,4,4,11,11.0,1.0,11,4771,1974,93477,99507,25445,12.890070921985815,179.45454545454547,2313.181818181818,11,40,9.549688547849655e-05,6.345566362142563e-05,0.00038235820829868317,0.00034873560070991516,0.0002685505896806717,93477,99507,25445,11,40,0.0002685505896806717,2.4413689970970154e-05
FamilyA_d2_M4_relu_seed1,FamilyA,relu,2,4,4,10,10.0,1.0,10,4360,1797,85228,91259,23344,12.99053978853645,179.7,2334.4,10,39,9.273737668991089e-05,5.729496479034424e-05,0.0003435947000980377,0.0003257123753428459,0.00024223793298006058,85228,91259,23344,10,39,0.00024223793298006058,2.4223793298006056e-05
FamilyA_d2_M4_relu_seed2,FamilyA,relu,2,4,4,11,10.0,1.1,10,4374,1811,92930,98958,25284,13.96134732192159,181.1,2528.4,10,39,9.278673678636551e-05,5.943421274423599e-05,0.0003625275567173958,0.0003382740542292595,0.0002523483708500862,92930,98958,25284,10,39,0.0002523483708500862,2.5234837085008622e-05
FamilyA_d2_M4_leakyrelu_seed0,FamilyA,leakyrelu,2,4,4,11,11.0,1.0,11,4786,1974,93810,99840,25665,13.001519756838906,179.45454545454547,2333.181818181818,11,40,0.00010043662041425705,6.536487489938736e-05,0.00037238746881484985,0.0003534061834216118,0.00026869866997003555,93810,99840,25665,11,40,0.00026869866997003555,2.4427151815457776e-05
FamilyA_d2_M4_leakyrelu_seed1,FamilyA,leakyrelu,2,4,4,10,10.0,1.0,10,4360,1797,85443,91474,23544,13.101836393989982,179.7,2354.4,10,39,9.154528379440308e-05,5.8863312005996704e-05,0.00034160539507865906,0.0003238338977098465,0.00024205725640058517,85443,91474,23544,10,39,0.00024205725640058517,2.4205725640058518e-05
FamilyA_d2_M4_leakyrelu_seed2,FamilyA,leakyrelu,2,4,4,11,10.0,1.1,10,4440,1811,93413,99441,25504,14.082827167310878,181.1,2550.4,10,39,0.00010062754154205322,6.227567791938782e-05,0.0003746766597032547,0.00035560596734285355,0.0002703499048948288,93413,99441,25504,10,39,0.0002703499048948288,2.7034990489482878e-05
FamilyA_d2_M4_abs_seed0,FamilyA,abs,2,4,4,11,11.0,1.0,11,4823,1974,93525,99555,25401,12.867781155015198,179.45454545454547,2309.181818181818,11,40,0.00010024663060903549,6.171409040689468e-05,0.00039064884185791016,0.0003530159592628479,0.00026417896151542664,93525,99555,25401,11,40,0.00026417896151542664,2.401626922867515e-05
FamilyA_d2_M4_abs_seed1,FamilyA,abs,2,4,4,10,10.0,1.0,10,4337,1797,85131,91162,23304,12.968280467445743,179.7,2330.4,10,39,9.36165452003479e-05,6.15948811173439e-05,0.0003559459000825882,0.0003298437222838402,0.00025496911257505417,85131,91162,23304,10,39,0.00025496911257505417,2.5496911257505416e-05
