stage,dictionary_size_N,atomic_universe_size_m,OPT_exposed_milp,greedy,lp_rounding,local_cleanup,T_min_milp,timeout_rate,instance,family,activation,dim,modules
D_leaf,2,2,2.0,2.0,2.0,2.0,0.0006881300359964371,0.0,tiny_relu_hinge_1d,GoldTiny,ReLU,1,1
D_leaf+D_frag,4,2,2.0,2.0,2.0,2.0,0.000687919557094574,0.0,tiny_relu_hinge_1d,GoldTiny,ReLU,1,1
+D_parent,6,2,2.0,2.0,2.0,2.0,0.0006832489743828773,0.0,tiny_relu_hinge_1d,GoldTiny,ReLU,1,1
+D_drop,6,2,2.0,2.0,2.0,2.0,0.000676269643008709,0.0,tiny_relu_hinge_1d,GoldTiny,ReLU,1,1
D_leaf,2,2,2.0,2.0,2.0,2.0,0.000703711062669754,0.0,tiny_abs_1d,GoldTiny,Abs,1,1
D_leaf+D_frag,4,2,2.0,2.0,2.0,2.0,0.000670919194817543,0.0,tiny_abs_1d,GoldTiny,Abs,1,1
+D_parent,6,2,2.0,2.0,2.0,2.0,0.000667148269712925,0.0,tiny_abs_1d,GoldTiny,Abs,1,1
+D_drop,6,2,2.0,2.0,2.0,2.0,0.0006702188402414322,0.0,tiny_abs_1d,GoldTiny,Abs,1,1
D_leaf,4,4,4.0,4.0,4.0,4.0,0.0007178923115134239,0.0,tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2
D_leaf+D_frag,8,4,4.0,4.0,4.0,4.0,0.0006812894716858864,0.0,tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2
+D_parent,12,4,4.0,4.0,4.0,4.0,0.0006806598976254463,0.0,tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2
+D_drop,12,4,4.0,4.0,4.0,4.0,0.0006843907758593559,0.0,tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2
D_leaf,2,2,2.0,2.0,2.0,2.0,0.0007047615945339203,0.0,tiny_leaky_2d,GoldTiny,LeakyReLU,2,1
D_leaf+D_frag,4,2,2.0,2.0,2.0,2.0,0.0006797295063734055,0.0,tiny_leaky_2d,GoldTiny,LeakyReLU,2,1
