instance,family,activation,dim,modules,threshold_label,task_kind,threshold_reference,t,g_min,threshold_margin,is_true_threshold,n_violating_live_leaves,U_ge_transfer,dict_size_thr_transfer,dict_size_thr_parent,dict_size_thr_drop,dict_size_thr_mix,dict_size_threshold_union,OPT_ge_exposed_milp,OPT_ge_exposed_greedy,OPT_ge_exposed_lp_rounding,LB_ge_omega_common,LB_ge_chi_exact_common,LB_ge_omega_exposed,LB_ge_chi_exact_exposed,LB_ge_omega,LB_ge_chi_exact,T_min_ge_milp,timeout_ge_milp,false_control_behavior,OPT_ge_over_OPT_eq,gap_transfer_over_opt,gap_opt_over_lb_exposed,true_VAC_ge_L_grd
tiny_relu_hinge_1d,GoldTiny,ReLU,1,1,tight_true,canonical_true,g_min,-0.25,-0.25,0.0,True,0,2.0,2,0,3,0,3,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,0.0006880601868033409,False,finite_cover,0.5,2.0,1.0,1.0
tiny_relu_hinge_1d,GoldTiny,ReLU,1,1,false_control,false_control,g_min_plus_delta,-0.23,-0.25,-0.01999999999999999,False,2,inf,0,0,0,0,0,,,,2,2.0,2,2.0,2,2.0,,,no_finite_cover_or_timeout,,,,
tiny_abs_1d,GoldTiny,Abs,1,1,tight_true,canonical_true,g_min,-0.5,-0.5,0.0,True,0,2.0,2,0,3,0,3,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,0.000677560456097126,False,finite_cover,0.5,2.0,1.0,1.0
tiny_abs_1d,GoldTiny,Abs,1,1,false_control,false_control,g_min_plus_delta,-0.48,-0.5,-0.020000000000000018,False,2,inf,0,0,0,0,0,,,,2,2.0,2,2.0,2,2.0,,,no_finite_cover_or_timeout,,,,
tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2,tight_true,canonical_true,g_min,-0.4,-0.4,0.0,True,0,4.0,4,0,8,0,8,2.0,2.0,2.0,1,1.0,2,2.0,2,2.0,0.007253748364746571,False,finite_cover,0.5,2.0,1.0,1.0
tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2,false_control,false_control,g_min_plus_delta,-0.38,-0.4,-0.020000000000000018,False,4,inf,0,0,0,0,0,,,,4,4.0,4,4.0,4,4.0,,,no_finite_cover_or_timeout,,,,
tiny_leaky_2d,GoldTiny,LeakyReLU,2,1,tight_true,canonical_true,g_min,-1.92,-1.92,0.0,True,0,2.0,2,0,3,0,3,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,0.0006872899830341339,False,finite_cover,0.5,2.0,1.0,1.0
tiny_leaky_2d,GoldTiny,LeakyReLU,2,1,false_control,false_control,g_min_plus_delta,-1.9,-1.92,-0.020000000000000018,False,1,inf,1,0,1,0,1,inf,inf,inf,2,2.0,2,2.0,2,2.0,0.0006253952160477638,False,no_finite_cover_or_timeout,,,,
tiny_maxout_2d,GoldTiny,Maxout,2,1,tight_true,canonical_true,g_min,-0.75,-0.75,0.0,True,0,8.0,8,0,20,0,20,4.0,4.0,4.0,1,1.0,4,4.0,4,4.0,0.0049787117168307304,False,finite_cover,1.0,2.0,1.0,1.0
tiny_maxout_2d,GoldTiny,Maxout,2,1,false_control,false_control,g_min_plus_delta,-0.73,-0.75,-0.020000000000000018,False,2,inf,6,0,13,0,13,inf,inf,inf,4,4.0,5,5.0,5,5.0,0.000646526925265789,False,no_finite_cover_or_timeout,,,,
