stage,dictionary_size_N,atomic_universe_size_m,OPT_exposed_milp,greedy,lp_rounding,local_cleanup,T_min_milp,timeout_rate,LB_ge_omega_exposed,LB_ge_chi_exact_exposed,instance,family,activation,dim,modules,threshold_label,t
D_transfer,2,2,2.0,2.0,2.0,2.0,0.0006654886528849602,0.0,2,2.0,tiny_relu_hinge_1d,GoldTiny,ReLU,1,1,tight_true,-0.25
+D_parent,2,2,2.0,2.0,2.0,2.0,0.0006670495495200157,0.0,2,2.0,tiny_relu_hinge_1d,GoldTiny,ReLU,1,1,tight_true,-0.25
+D_drop,3,2,1.0,1.0,1.0,1.0,0.0006815986707806587,0.0,1,1.0,tiny_relu_hinge_1d,GoldTiny,ReLU,1,1,tight_true,-0.25
D_transfer,2,2,2.0,2.0,2.0,2.0,0.0006566168740391731,0.0,2,2.0,tiny_abs_1d,GoldTiny,Abs,1,1,tight_true,-0.5
+D_parent,2,2,2.0,2.0,2.0,2.0,0.0006555067375302315,0.0,2,2.0,tiny_abs_1d,GoldTiny,Abs,1,1,tight_true,-0.5
+D_drop,3,2,1.0,1.0,1.0,1.0,0.0006783083081245422,0.0,1,1.0,tiny_abs_1d,GoldTiny,Abs,1,1,tight_true,-0.5
D_transfer,4,4,4.0,4.0,4.0,4.0,0.000758245587348938,0.0,4,4.0,tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2,tight_true,-0.4
+D_parent,4,4,4.0,4.0,4.0,4.0,0.0006641075015068054,0.0,4,4.0,tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2,tight_true,-0.4
+D_drop,8,4,2.0,2.0,2.0,2.0,0.007324672304093838,0.0,2,2.0,tiny_relu_abs_2d,GoldTiny,ReLU+Abs,2,2,tight_true,-0.4
D_transfer,2,2,2.0,2.0,2.0,2.0,0.0006528664380311966,0.0,2,2.0,tiny_leaky_2d,GoldTiny,LeakyReLU,2,1,tight_true,-1.92
+D_parent,2,2,2.0,2.0,2.0,2.0,0.0006464868783950806,0.0,2,2.0,tiny_leaky_2d,GoldTiny,LeakyReLU,2,1,tight_true,-1.92
+D_drop,3,2,1.0,1.0,1.0,1.0,0.0006626974791288376,0.0,1,1.0,tiny_leaky_2d,GoldTiny,LeakyReLU,2,1,tight_true,-1.92
D_transfer,8,8,8.0,8.0,8.0,8.0,0.0006704786792397499,0.0,8,8.0,tiny_maxout_2d,GoldTiny,Maxout,2,1,tight_true,-0.75
+D_parent,8,8,8.0,8.0,8.0,8.0,0.0006609279662370682,0.0,8,8.0,tiny_maxout_2d,GoldTiny,Maxout,2,1,tight_true,-0.75
+D_drop,20,8,4.0,4.0,4.0,4.0,0.005084280855953693,0.0,4,4.0,tiny_maxout_2d,GoldTiny,Maxout,2,1,tight_true,-0.75
D_transfer,2,2,2.0,2.0,2.0,2.0,0.002084360457956791,0.0,2,2.0,tiny_residual_2d,GoldTiny,Residual+ReLU,2,1,tight_true,0.2
+D_parent,2,2,2.0,2.0,2.0,2.0,0.0006512273102998734,0.0,2,2.0,tiny_residual_2d,GoldTiny,Residual+ReLU,2,1,tight_true,0.2
+D_drop,3,2,1.0,1.0,1.0,1.0,0.0006734887138009071,0.0,1,1.0,tiny_residual_2d,GoldTiny,Residual+ReLU,2,1,tight_true,0.2
D_transfer,43,43,43.0,43.0,43.0,43.0,0.0008103391155600548,0.0,16,,FamilyA_d2_M10_relu_seed0,FamilyA,relu,2,10,tight_true,-0.5800000000000001
+D_parent,43,43,43.0,43.0,43.0,43.0,0.0007440941408276558,0.0,16,,FamilyA_d2_M10_relu_seed0,FamilyA,relu,2,10,tight_true,-0.5800000000000001
+D_drop,384,43,23.0,23.0,23.0,23.0,0.004397541284561157,0.0,16,,FamilyA_d2_M10_relu_seed0,FamilyA,relu,2,10,tight_true,-0.5800000000000001
D_transfer,43,43,43.0,43.0,43.0,43.0,0.0008392315357923508,0.0,16,,FamilyA_d2_M10_leakyrelu_seed0,FamilyA,leakyrelu,2,10,tight_true,-1.33475
+D_parent,43,43,43.0,43.0,43.0,43.0,0.0007429029792547226,0.0,16,,FamilyA_d2_M10_leakyrelu_seed0,FamilyA,leakyrelu,2,10,tight_true,-1.33475
+D_drop,384,43,23.0,23.0,23.0,23.0,0.004482616670429707,0.0,16,,FamilyA_d2_M10_leakyrelu_seed0,FamilyA,leakyrelu,2,10,tight_true,-1.33475
D_transfer,43,43,43.0,43.0,43.0,43.0,0.0008073588833212852,0.0,16,,FamilyA_d2_M10_abs_seed0,FamilyA,abs,2,10,tight_true,2.6229999999999998
+D_parent,43,43,43.0,43.0,43.0,43.0,0.0007380936294794083,0.0,16,,FamilyA_d2_M10_abs_seed0,FamilyA,abs,2,10,tight_true,2.6229999999999998
+D_drop,384,43,23.0,23.0,23.0,23.0,0.0044713448733091354,0.0,16,,FamilyA_d2_M10_abs_seed0,FamilyA,abs,2,10,tight_true,2.6229999999999998
D_transfer,31,31,31.0,31.0,31.0,31.0,0.0007753875106573105,0.0,16,,FamilyA_d2_M10_maxout_seed0,FamilyA,maxout,2,10,tight_true,0.96875
+D_parent,31,31,31.0,31.0,31.0,31.0,0.0007007317617535591,0.0,16,,FamilyA_d2_M10_maxout_seed0,FamilyA,maxout,2,10,tight_true,0.96875
+D_drop,289,31,16.0,16.0,16.0,16.0,0.004273661412298679,0.0,14,,FamilyA_d2_M10_maxout_seed0,FamilyA,maxout,2,10,tight_true,0.96875
D_transfer,104,104,104.0,104.0,104.0,104.0,0.0010337550193071365,0.0,16,,FamilyA_d3_M10_relu_seed0,FamilyA,relu,3,10,tight_true,-1.76
+D_parent,104,104,104.0,104.0,104.0,104.0,0.0009415773674845695,0.0,16,,FamilyA_d3_M10_relu_seed0,FamilyA,relu,3,10,tight_true,-1.76
